Store Number,Store Location,Address,Address Line 2,Address Line 3,City,State,Zip Code,Phone Number,Store Hours,Wireless,Services,Latitude,Longitude
3444-83420,Loop 610 & I-45,1450 Gulfgate Center,,,Houston,TX,77087-3032,(713) 454-0832,Mon: 05:00:00-22:30:00 Tue: 05:00:00-22:30:00 Wed: 05:00:00-22:30:00 Thu: 05:00:00-22:30:00 Fri: 05:00:00-22:30:00 Sat: 06:00:00-22:30:00 Sun: 06:00:00-22:30:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange | Drive-Through |,29.69776,-95.297697
3445-93414,Hwy. 190 & N. Garland,5345 N. Garland Avenue,North Garland Crossing,300,Garland,TX,75040-2783,(972) 675-8632,Mon: 05:00:00-21:00:00 Tue: 05:00:00-21:00:00 Wed: 05:00:00-21:00:00 Thu: 05:00:00-21:00:00 Fri: 05:00:00-21:00:00 Sat: 06:00:00-21:30:00 Sun: 06:00:00-21:30:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,32.964352,-96.6445
3446-62561,Hwy 59 & Grand Parkway,19908 SW Freeway,,,Sugarland,TX,77479,(281) 633-0494,Mon: 05:00:00-22:00:00 Tue: 05:00:00-22:00:00 Wed: 05:00:00-22:00:00 Thu: 05:00:00-22:00:00 Fri: 05:00:00-23:00:00 Sat: 05:00:00-23:00:00 Sun: 05:30:00-22:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange | Drive-Through |,29.563488,-95.684902
3447-94619,Blacksburg,880 University City Blvd.,,,Blacksburg,VA,24060-2752,(540) 552-0742,Mon: 06:00:00-22:30:00 Tue: 06:00:00-22:30:00 Wed: 06:00:00-22:30:00 Thu: 06:00:00-22:30:00 Fri: 06:00:00-22:30:00 Sat: 06:00:00-22:30:00 Sun: 06:30:00-22:30:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,37.235092,-80.43411
3448-84572,2344 Eastlake,2344 Eastlake Ave E,,,Seattle,WA,98102-3306,(206) 324-5144,Mon: 05:00:00-19:00:00 Tue: 05:00:00-19:00:00 Wed: 05:00:00-19:00:00 Thu: 05:00:00-19:00:00 Fri: 05:00:00-19:00:00 Sat: 05:00:00-19:00:00 Sun: 06:00:00-19:00:00,,Oven-warmed Food | Verismo | Mobile Payment | Digital Rewards | La Boulange | Google Wi-Fi |,47.641026,-122.325669
3449-93588,1211 Dexter Ave,1211 Dexter Avenue North,,,Seattle,WA,98109-3518,(206) 283-2211,Mon: 05:30:00-18:00:00 Tue: 05:30:00-18:00:00 Wed: 05:30:00-18:00:00 Thu: 05:30:00-18:00:00 Fri: 05:30:00-18:00:00 Sat: 06:00:00-18:00:00 Sun: 06:00:00-18:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Mobile Payment | Digital Rewards | La Boulange |,47.630038,-122.342501
3450-93467,Division & Buckeye,2703 N. Division Street,,,Spokane,WA,99207-2010,(509) 328-8181,Mon: 05:00:00-20:00:00 Tue: 05:00:00-20:00:00 Wed: 05:00:00-20:00:00 Thu: 05:00:00-20:00:00 Fri: 05:00:00-20:00:00 Sat: 06:00:00-19:00:00 Sun: 06:00:00-19:00:00,,Oven-warmed Food | Mobile Payment | Digital Rewards | La Boulange | Google Wi-Fi | Drive-Through |,47.682891,-117.411532
3451-88086,Highway 512 & South Tacoma Way,10314 S Tacoma Way,,,Lakewood,WA,98499-4646,(253) 984-0898,Mon: 04:00:00-21:00:00 Tue: 04:00:00-21:00:00 Wed: 04:00:00-21:00:00 Thu: 04:00:00-21:00:00 Fri: 04:00:00-21:00:00 Sat: 05:00:00-21:00:00 Sun: 05:00:00-21:00:00,,Oven-warmed Food | Verismo | Mobile Payment | Digital Rewards | La Boulange | Google Wi-Fi | Drive-Through |,47.163269,-122.48416
3452-93555,Charleston Town Center,3000 Charleston Town Center,,K-15,Charleston,WV,25389-0008,(304) 346-1634,Mon: 06:30:00-22:00:00 Tue: 06:30:00-22:00:00 Wed: 06:30:00-22:00:00 Thu: 06:30:00-22:00:00 Fri: 06:30:00-22:00:00 Sat: 07:00:00-22:00:00 Sun: 08:30:00-19:00:00,,Verismo | Mobile Payment | Digital Rewards | La Boulange |,38.356062,-81.640296
3453-93234,US Hwy 11 & I-459,1420 Gadsden Hwy,,,Trussville,AL,35235-3126,(205) 661-3201,Mon: 05:30:00-22:00:00 Tue: 05:30:00-22:00:00 Wed: 05:30:00-22:00:00 Thu: 05:30:00-22:00:00 Fri: 05:30:00-23:00:00 Sat: 06:00:00-23:00:00 Sun: 06:00:00-22:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange | Drive-Through |,33.596417,-86.645189
3454-91640,"Alton & Culver, Irvine",3995 Alton Pkwy,Westpark Plaza,,Irvine,CA,92606-8270,(949) 553-0071,Mon: 05:00:00-22:30:00 Tue: 05:00:00-22:30:00 Wed: 05:00:00-22:30:00 Thu: 05:00:00-22:30:00 Fri: 05:00:00-22:30:00 Sat: 05:30:00-22:30:00 Sun: 05:30:00-22:30:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,33.681474,-117.811756
3456-86220,Hopper & Cleveland - Santa Ros,860 Hopper Avenue,,,Santa Rosa,CA,95403-1611,(707) 528-3116,Mon: 00:00:00-00:00:00 Tue: 00:00:00-00:00:00 Wed: 00:00:00-00:00:00 Thu: 00:00:00-00:00:00 Fri: 00:00:00-00:00:00 Sat: 00:00:00-00:00:00 Sun: 00:00:00-00:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange | Drive-Through |,38.47928,-122.736383
3457-73037,1st Street & Trimble - San Jose,2579 North First Street,The Marketplace,,San Jose,CA,95131-1003,(408) 428-9887,Mon: 05:00:00-19:30:00 Tue: 05:00:00-19:30:00 Wed: 05:00:00-19:30:00 Thu: 05:00:00-19:30:00 Fri: 05:00:00-19:30:00 Sat: 05:30:00-15:30:00 Sun: 00:00:00-00:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Mobile Payment | Digital Rewards | La Boulange |,37.385351,-121.927919
3458-87674,Montague & Thomas - Santa Clara,3700 Thomas Road,,,Santa Clara,CA,95054-2063,(408) 980-9376,Mon: 05:00:00-19:00:00 Tue: 05:00:00-19:00:00 Wed: 05:00:00-19:00:00 Thu: 05:00:00-19:00:00 Fri: 05:00:00-19:00:00 Sat: 05:30:00-17:00:00 Sun: 06:00:00-17:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Mobile Payment | Digital Rewards | La Boulange |,37.386196,-121.960905
3459-92385,El Camino & Whipple - Redwood City,490 El Camino Real,,,Redwood City,CA,94062-1779,(650) 701-0112,Mon: 05:00:00-19:00:00 Tue: 05:00:00-19:00:00 Wed: 05:00:00-19:00:00 Thu: 05:00:00-19:00:00 Fri: 05:00:00-19:00:00 Sat: 05:00:00-19:00:00 Sun: 06:00:00-18:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Mobile Payment | Digital Rewards | La Boulange |,37.490309,-122.240179
3460-93753,"Convoy & Raytheon, San Diego",4898 Convoy Street,,100,San Diego,CA,92111-1633,(858) 560-0337,Mon: 04:30:00-22:30:00 Tue: 04:30:00-22:30:00 Wed: 04:30:00-22:30:00 Thu: 04:30:00-22:30:00 Fri: 04:30:00-22:30:00 Sat: 04:30:00-22:30:00 Sun: 05:30:00-21:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | Drive-Through |,32.830427,-117.153709
3462-92384,Sperry & Rogers - Patterson,15040 Rogers Road,,,Patterson,CA,95363-9513,(209) 892-9077,Mon: 04:00:00-22:00:00 Tue: 04:00:00-22:00:00 Wed: 04:00:00-22:00:00 Thu: 04:00:00-22:00:00 Fri: 04:00:00-22:00:00 Sat: 05:00:00-22:00:00 Sun: 05:00:00-22:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange | Drive-Through |,37.465927,-121.174728
3465-93156,Northwest Hwy & Shadybrook,5905 E. Northwest Highway,,,Dallas,TX,75231-7416,(214) 363-4678,Mon: 05:00:00-22:00:00 Tue: 05:00:00-22:00:00 Wed: 05:00:00-22:00:00 Thu: 05:00:00-22:00:00 Fri: 05:00:00-22:00:00 Sat: 05:00:00-22:00:00 Sun: 05:00:00-22:00:00,,Oven-warmed Food | Verismo | Mobile Payment | Digital Rewards | La Boulange | Google Wi-Fi | Drive-Through |,32.865979,-96.763485
3466-94078,White Plains Renaissance Plaza,200 Main Street,,,White Plains,NY,10601-3203,(914) 682-1738,Mon: 05:30:00-22:00:00 Tue: 05:30:00-22:00:00 Wed: 05:30:00-22:00:00 Thu: 05:30:00-22:00:00 Fri: 05:30:00-23:00:00 Sat: 06:00:00-23:00:00 Sun: 06:00:00-22:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Mobile Payment | Digital Rewards | La Boulange |,41.032126,-73.767458
3467-88143,U.S. Steel Tower,600 Grant Street,,,Pittsburgh,PA,15219-2701,(412) 765-3125,Mon: 05:30:00-19:00:00 Tue: 05:30:00-19:00:00 Wed: 05:30:00-19:00:00 Thu: 05:30:00-19:00:00 Fri: 05:30:00-19:00:00 Sat: 00:00:00-00:00:00 Sun: 00:00:00-00:00:00,Wireless Hotspot,Starbucks Reserve-Clover Brewed | Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,40.441481,-79.99488
3469-93082,Randol Mill & Fielder,1110 Fielder North Plaza,Fielder Plaza,,Arlington,TX,76012,(817) 795-8792,Mon: 05:00:00-22:00:00 Tue: 05:00:00-22:00:00 Wed: 05:00:00-22:00:00 Thu: 05:00:00-22:00:00 Fri: 05:00:00-22:00:00 Sat: 05:00:00-22:00:00 Sun: 05:00:00-22:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange | Drive-Through |,32.750923,-97.132114
3470-93614,Yulupa & Bethards - Santa Rosa,2755 Yulupa Avenue,Bennet Valley Shopping Center,,Santa Rosa,CA,95405-8584,(707) 545-2738,Mon: 05:00:00-19:00:00 Tue: 05:00:00-19:00:00 Wed: 05:00:00-19:00:00 Thu: 05:00:00-19:00:00 Fri: 05:00:00-19:00:00 Sat: 05:00:00-19:00:00 Sun: 05:00:00-19:00:00,,Oven-warmed Food | Verismo | Mobile Payment | Digital Rewards | La Boulange | Google Wi-Fi |,38.426334,-122.668154
3471-94127,Sonoma & Varano - Sonoma,19239 Sonoma Highway,,,Sonoma,CA,95476,(707) 935-3187,Mon: 04:30:00-22:00:00 Tue: 04:30:00-22:00:00 Wed: 04:30:00-22:00:00 Thu: 04:30:00-22:00:00 Fri: 04:30:00-22:00:00 Sat: 05:00:00-22:00:00 Sun: 05:30:00-21:30:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,38.299179,-122.475471
3472-72901,El Camino & Woodside - Redwood City,1900 El Camino Real,,,Redwood City,CA,94063-2113,(650) 216-9732,Mon: 05:00:00-20:30:00 Tue: 05:00:00-20:30:00 Wed: 05:00:00-20:30:00 Thu: 05:00:00-20:30:00 Fri: 05:00:00-20:30:00 Sat: 06:00:00-20:30:00 Sun: 06:00:00-20:30:00,Wireless Hotspot,Wireless Hotspot | Mobile Payment | Digital Rewards | La Boulange |,37.477394,-122.223439
3473-93761,South Burlington,580 Shelburne Road #9,Gateway Shopping Center,,South Burlington,VT,05403,(802) 651-0829,Mon: 05:30:00-21:00:00 Tue: 05:30:00-21:00:00 Wed: 05:30:00-21:00:00 Thu: 05:30:00-21:00:00 Fri: 05:30:00-22:00:00 Sat: 06:00:00-22:00:00 Sun: 06:00:00-21:00:00,,Oven-warmed Food | Verismo | Mobile Payment | Digital Rewards | La Boulange | Google Wi-Fi |,44.448759,-73.208128
3474-72741,Rocklin & Sierra College - Rocklin,5070 Rocklin Road,Campus Plaza Shopping Center,A,Rocklin,CA,95677-4497,(916) 624-3059,Mon: 04:30:00-21:30:00 Tue: 04:30:00-21:30:00 Wed: 04:30:00-21:30:00 Thu: 04:30:00-21:30:00 Fri: 04:30:00-21:30:00 Sat: 05:00:00-21:00:00 Sun: 05:30:00-20:30:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Mobile Payment | Digital Rewards | La Boulange | Drive-Through |,38.788387,-121.20648
3475-93157,Hwy 75 & Bethany,727 S. Central Expressway,,,Allen,TX,75013-8012,(214) 495-8257,Mon: 04:30:00-23:00:00 Tue: 04:30:00-23:00:00 Wed: 04:30:00-23:00:00 Thu: 04:30:00-23:00:00 Fri: 04:30:00-23:00:00 Sat: 04:30:00-23:00:00 Sun: 05:30:00-22:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange | Drive-Through |,33.091047,-96.680195
3477-75002,Hwy 395 & Topsy - Carson City,921 Topsy Lane,Carson Valley Plaza,410,Carson City,NV,89705-8418,(775) 267-0592,Mon: 05:00:00-21:00:00 Tue: 05:00:00-21:00:00 Wed: 05:00:00-21:00:00 Thu: 05:00:00-21:00:00 Fri: 05:00:00-21:00:00 Sat: 05:00:00-21:00:00 Sun: 05:00:00-21:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange | Drive-Through |,39.110014,-119.776841
3478-92800,Hwy 280 & Hwy 119,5405 US-280 East,,,Birmingham,AL,35242,(205) 995-1408,Mon: 05:30:00-22:00:00 Tue: 05:30:00-22:00:00 Wed: 05:30:00-22:00:00 Thu: 05:30:00-22:00:00 Fri: 05:30:00-23:00:00 Sat: 06:00:00-23:00:00 Sun: 06:00:00-22:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange | Drive-Through |,33.4176,-86.68369
3481-93777,Shrewsbury Square,14605 Mt. Airy Road,,,Shrewsbury,PA,17361-1433,(717) 227-3520,Mon: 05:30:00-21:30:00 Tue: 05:30:00-21:30:00 Wed: 05:30:00-21:30:00 Thu: 05:30:00-21:30:00 Fri: 05:30:00-22:00:00 Sat: 05:30:00-22:00:00 Sun: 06:00:00-21:30:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange | Drive-Through |,39.774811,-76.670066
3482-90583,Tarpon Ave & US Hwy 19,40908 US Highway 19 North,,,Tarpon Springs,FL,34689-5446,(727) 934-6968,Mon: 05:00:00-22:00:00 Tue: 05:00:00-22:00:00 Wed: 05:00:00-22:00:00 Thu: 05:00:00-22:00:00 Fri: 05:00:00-23:00:00 Sat: 06:00:00-23:00:00 Sun: 05:00:00-22:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,28.144095,-82.74043
3484-92905,Richfield-Lyndale & 77th,7610 Lyndale Ave. South,,Suite 800,Richfield,MN,55423-4167,(612) 869-9839,Mon: 05:30:00-21:00:00 Tue: 05:30:00-21:00:00 Wed: 05:30:00-21:00:00 Thu: 05:30:00-21:00:00 Fri: 05:30:00-21:00:00 Sat: 05:30:00-21:00:00 Sun: 06:30:00-20:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,44.864713,-93.288659
3485-91461,75th St & Cortez Rd,7484 Cortez Rd,,,Bradenton,FL,34210-2444,(941) 794-8910,Mon: 05:30:00-22:00:00 Tue: 05:30:00-22:00:00 Wed: 05:30:00-22:00:00 Thu: 05:30:00-22:00:00 Fri: 05:30:00-23:00:00 Sat: 06:00:00-23:00:00 Sun: 06:00:00-22:00:00,,Oven-warmed Food | Verismo | Mobile Payment | Digital Rewards | La Boulange | Google Wi-Fi | Drive-Through |,27.46289,-82.636561
3486-93616,I-5 & Corning - Corning,908 SR-99W,,A,Corning,CA,96021-2724,(530) 824-3297,Mon: 05:00:00-21:00:00 Tue: 05:00:00-21:00:00 Wed: 05:00:00-21:00:00 Thu: 05:00:00-21:00:00 Fri: 05:00:00-21:00:00 Sat: 05:00:00-21:00:00 Sun: 05:00:00-21:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange | Drive-Through |,39.926821,-122.197884
3487-108624,Smith's-Las Vegas #347,9851 W Charleston,,,Las Vegas,NV,89117-7516,(702) 946-1200,Mon: 06:00:00-19:00:00 Tue: 06:00:00-19:00:00 Wed: 06:00:00-19:00:00 Thu: 06:00:00-19:00:00 Fri: 06:00:00-19:00:00 Sat: 06:00:00-19:00:00 Sun: 06:00:00-19:00:00,Wireless Hotspot,Wireless Hotspot |,36.157891,-115.312109
348-76040,Magnolia,3300 W. McGraw St.,,100,Seattle,WA,98199-3246,(206) 298-3390,Mon: 05:30:00-20:30:00 Tue: 05:30:00-20:30:00 Wed: 05:30:00-20:30:00 Thu: 05:30:00-20:30:00 Fri: 05:30:00-20:30:00 Sat: 05:30:00-20:30:00 Sun: 06:00:00-20:30:00,,Starbucks Reserve-Clover Brewed | Oven-warmed Food | Verismo | Mobile Payment | Digital Rewards | La Boulange | Google Wi-Fi |,47.639717,-122.399802
3488-153005,CLT Terminal E,5501 Josh Birmingham Pkwy,,,Charlotte,NC,28208-5750,(704) 359-4512,Mon: 06:00:00-21:00:00 Tue: 06:00:00-21:00:00 Wed: 06:00:00-21:00:00 Thu: 06:00:00-21:00:00 Fri: 06:00:00-21:00:00 Sat: 06:00:00-21:00:00 Sun: 06:00:00-21:00:00,Wireless Hotspot,Wireless Hotspot | Digital Rewards |,35.223362,-80.927864
3496-126606,Kroger-McKinney #567,2901 S Lake Forest Dr,,,McKinney,TX,75070,(972) 540-1196,Mon: 06:00:00-21:00:00 Tue: 06:00:00-21:00:00 Wed: 06:00:00-21:00:00 Thu: 06:00:00-21:00:00 Fri: 06:00:00-21:00:00 Sat: 06:00:00-21:00:00 Sun: 06:00:00-21:00:00,,,33.174469,-96.682252
349-74803,Redmond Center - DT,15738 Redmond Way,Redmond Center,Pad 3,Redmond,WA,98052-3830,(425) 885-9590,Mon: 04:30:00-23:00:00 Tue: 04:30:00-23:00:00 Wed: 04:30:00-23:00:00 Thu: 04:30:00-23:00:00 Fri: 04:30:00-23:00:00 Sat: 06:00:00-23:00:00 Sun: 06:00:00-23:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Mobile Payment | Digital Rewards | La Boulange | Drive-Through |,47.674929,-122.128872
3498-101171,Safeway - Tucson #2060,1767 East Prince Rd,,,Tucson,AZ,85719-1926,,Mon: 06:00:00-20:00:00 Tue: 06:00:00-20:00:00 Wed: 06:00:00-20:00:00 Thu: 06:00:00-20:00:00 Fri: 06:00:00-20:00:00 Sat: 06:00:00-20:00:00 Sun: 06:00:00-20:00:00,Wireless Hotspot,Wireless Hotspot | Mobile Payment |,32.273727,-110.945329
3499-129845,Safeway-Sonora #3127,1291 Sanguinettie Rd,,,Sonora,CA,95370-6215,(209) 533-7810,Mon: 06:00:00-19:00:00 Tue: 06:00:00-19:00:00 Wed: 06:00:00-20:00:00 Thu: 06:00:00-19:00:00 Fri: 06:00:00-19:00:00 Sat: 06:00:00-19:00:00 Sun: 06:00:00-19:00:00,Wireless Hotspot,Wireless Hotspot | Mobile Payment |,37.972953,-120.367412
3502-136630,UMBC - University Center,1000 Hilltop Circle,,,Baltimore,MD,21250-0001,,Mon: 07:00:00-20:00:00 Tue: 07:00:00-20:00:00 Wed: 07:00:00-20:00:00 Thu: 07:00:00-20:00:00 Fri: 07:00:00-20:00:00 Sat: 00:00:00-00:00:00 Sun: 00:00:00-00:00:00,Wireless Hotspot,Wireless Hotspot |,39.259636,-76.70912
350-230,Lynnwood Square,19720 44TH Avenue W,,Suite K,Lynnwood,WA,98036-6741,(425) 778-4034,Mon: 04:30:00-19:30:00 Tue: 04:30:00-19:30:00 Wed: 04:30:00-19:30:00 Thu: 04:30:00-19:30:00 Fri: 04:30:00-19:30:00 Sat: 04:30:00-19:30:00 Sun: 06:30:00-18:30:00,,Oven-warmed Food | Verismo | Mobile Payment | Digital Rewards | La Boulange | Google Wi-Fi |,47.819971,-122.293088
3503-140887,ALB Concourse B Times Square,737 Albany-Shaker Road,,,Albany,NY,12211-1000,(518) 242-4333,Mon: 05:00:00-20:00:00 Tue: 05:00:00-20:00:00 Wed: 05:00:00-20:00:00 Thu: 05:00:00-20:00:00 Fri: 05:00:00-20:00:00 Sat: 05:00:00-20:00:00 Sun: 05:00:00-20:00:00,Wireless Hotspot,Wireless Hotspot | Digital Rewards |,42.74142,-73.80833
3507-143245,"Kroger-Lexington, KY #767",3175 Beaumont Centre Cir,,,Lexington,KY,40513-1957,,Mon: 06:00:00-19:00:00 Tue: 06:00:00-19:00:00 Wed: 06:00:00-19:00:00 Thu: 06:00:00-19:00:00 Fri: 06:00:00-19:00:00 Sat: 06:00:00-19:00:00 Sun: 06:00:00-19:00:00,,,38.020637,-84.55725
3508-142204,Safeway - Kihei #1500,277 Pi'ikea Avenue,,,Kihei,HI,96753-8268,(808) 891-9120,Mon: 07:00:00-19:00:00 Tue: 07:00:00-19:00:00 Wed: 07:00:00-19:00:00 Thu: 07:00:00-19:00:00 Fri: 07:00:00-19:00:00 Sat: 07:00:00-19:00:00 Sun: 07:00:00-19:00:00,Wireless Hotspot,Wireless Hotspot | Mobile Payment |,20.752638,-156.448266
3509-142865,TYS Foodcourt (Knoxville),2055 Airport Hwy,,,Alcoa,TN,37701-3316,,Mon: 05:00:00-20:00:00 Tue: 05:00:00-20:00:00 Wed: 05:00:00-20:00:00 Thu: 05:00:00-20:00:00 Fri: 05:00:00-20:00:00 Sat: 05:00:00-20:00:00 Sun: 05:00:00-17:00:00,Wireless Hotspot,Wireless Hotspot | Digital Rewards |,35.805814,-83.986709
3510-142866,DAY C 16,3600 Terminal Dr,,,Vandalia,OH,45377-3312,(937) 313-5353,Mon: 05:00:00-20:00:00 Tue: 05:00:00-20:00:00 Wed: 05:00:00-20:00:00 Thu: 05:00:00-20:00:00 Fri: 05:00:00-20:00:00 Sat: 05:00:00-19:30:00 Sun: 05:00:00-20:00:00,Wireless Hotspot,Wireless Hotspot | Digital Rewards |,39.89837,-84.22092
3511-144544,Safeway-Brandywine #2853,15916 S Crain Hwy,,,Brandywine,MD,20613-8000,(301) 242-9260,Mon: 07:00:00-20:00:00 Tue: 07:00:00-20:00:00 Wed: 07:00:00-20:00:00 Thu: 07:00:00-20:00:00 Fri: 07:00:00-20:00:00 Sat: 07:00:00-20:00:00 Sun: 07:00:00-20:00:00,,,38.669955,-76.876016
3513-125945,Safeway-Anchorage #1809,5600 Debarr Rd,,,Anchorage,AK,99504-2300,(907) 339-0900,Mon: 06:30:00-19:30:00 Tue: 06:30:00-19:30:00 Wed: 06:30:00-19:30:00 Thu: 06:30:00-19:30:00 Fri: 06:30:00-19:30:00 Sat: 06:30:00-19:30:00 Sun: 06:30:00-19:30:00,Wireless Hotspot,Wireless Hotspot | Mobile Payment |,61.208839,-149.778077
352-234,Carillon Point,2255 Carillon Point,,,Kirkland,WA,98033-7446,(425) 827-2130,Mon: 05:00:00-20:00:00 Tue: 05:00:00-20:00:00 Wed: 05:00:00-20:00:00 Thu: 05:00:00-20:00:00 Fri: 05:00:00-20:00:00 Sat: 06:00:00-20:00:00 Sun: 06:00:00-19:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Mobile Payment | Digital Rewards | La Boulange |,47.656658,-122.205764
353-235,Puyallup,4423 S Meridian Street,,,Puyallup,WA,98373-3302,(253) 845-6988,Mon: 05:30:00-19:00:00 Tue: 05:30:00-19:00:00 Wed: 05:30:00-19:00:00 Thu: 05:30:00-19:00:00 Fri: 05:30:00-19:00:00 Sat: 05:30:00-19:00:00 Sun: 06:00:00-18:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,47.148853,-122.291678
354-241,Cordata Village,4285 Guide Meridian,,,Bellingham,WA,98226,(360) 650-0883,Mon: 05:30:00-21:30:00 Tue: 05:30:00-21:30:00 Wed: 05:30:00-21:30:00 Thu: 05:30:00-21:30:00 Fri: 05:30:00-21:30:00 Sat: 05:30:00-21:30:00 Sun: 06:00:00-20:30:00,Wireless Hotspot,Starbucks Reserve-Clover Brewed | Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,48.796968,-122.487503
3568-106014,Fort Knox Military Base,75 Estrada Ave,,BLDG 9000,Fort Knox,KY,40121,(502) 942-6155,Mon: 06:00:00-21:00:00 Tue: 06:00:00-21:00:00 Wed: 06:00:00-21:00:00 Thu: 06:00:00-21:00:00 Fri: 06:00:00-21:00:00 Sat: 09:00:00-16:00:00 Sun: 09:00:00-14:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot |,37.881989,-85.954898
3569-145464,Loyola Universi-Andrew White Center,4501 N Charles St,,,Baltimore,MD,21210-2601,(410) 617-5830,Mon: 07:30:00-21:00:00 Tue: 07:30:00-21:00:00 Wed: 07:30:00-21:00:00 Thu: 07:30:00-21:00:00 Fri: 07:30:00-18:00:00 Sat: 09:00:00-18:00:00 Sun: 09:00:00-21:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot |,39.3455,-76.62195
356-95,26th and Proctor,2602 North Proctor,,Suite 100,Tacoma,WA,98407-5250,(253) 756-1859,Mon: 04:30:00-20:30:00 Tue: 04:30:00-20:30:00 Wed: 04:30:00-20:30:00 Thu: 04:30:00-20:30:00 Fri: 04:30:00-20:30:00 Sat: 04:30:00-20:30:00 Sun: 05:30:00-19:00:00,Wireless Hotspot,Starbucks Reserve-Clover Brewed | Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,47.271238,-122.489027
357-245,Gig Harbor,4904 Pt Fosdick Drive NW,,,Gig Harbor,WA,98335-1713,(253) 851-5230,Mon: 05:00:00-19:30:00 Tue: 05:00:00-19:30:00 Wed: 05:00:00-19:30:00 Thu: 05:00:00-19:30:00 Fri: 05:00:00-19:30:00 Sat: 05:00:00-19:30:00 Sun: 05:00:00-19:30:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,47.29948,-122.57826
3572-86323,MTSU - James Walker Library,1301 E Main St,,,Murfreesboro,TN,37132,(615) 294-0738,Mon: 06:00:00-21:00:00 Tue: 06:00:00-21:00:00 Wed: 06:00:00-21:00:00 Thu: 06:00:00-21:00:00 Fri: 06:00:00-21:00:00 Sat: 06:00:00-21:00:00 Sun: 06:00:00-21:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot |,35.848623,-86.362969
3573-137531,Lorain County Community Colleg,1005 Abbe Rd N,,,Elyria,OH,44035-1613,,Mon: 05:30:00-22:00:00 Tue: 05:30:00-22:00:00 Wed: 05:30:00-22:00:00 Thu: 05:30:00-22:00:00 Fri: 05:30:00-22:30:00 Sat: 06:00:00-22:30:00 Sun: 06:00:00-22:00:00,,Oven-warmed Food |,41.414091,-82.077054
